type priority daystoresolve
improvement 3 138.10452546293982
subtask 3 0.02525462962962963
subtask 3 0.025046296296296296
bug 3 21.728946759270833
subtask 3 18.92996527775463
improvement 3 47.525081018506945
improvement 3 81.50524305553242
bug 3 0.040150462962962964
bug 3 0.03481481481481481
question 3 26.174525462939815
subtask 3 1.1175578703819444
improvement 3 23.091377314837963
bug 3 20.837743055555556
improvement 4 32.981631944421295
improvement 4 0.29465277777777776
bug 4 7.8665509259375
newfeature 4 31.773449074027777
improvement 4 0.13696759259259259
improvement 4 0.7096874999305556
improvement 4 17.584374999965277
improvement 4 12.164293981458334
improvement 4 6.089097222210648
improvement 4 14.597523148159722
improvement 5 3.7749305555208332
bug 2 0.4676851851851852
bug 3 3.47928240744213
improvement 3 0.00017361111111111112
question 3 27.966342592592593
subtask 4 38.11855324077546
improvement 5 15.61041666667824
bug 3 0.0075
bug 3 3.8293865740393516
bug 3 3.8426388888541663
improvement 4 0.03284722222222222
bug 1 2.9846180555902775
bug 2 0.005104166666666667
improvement 2 3.2542824074421297
improvement 2 336.52444444444444
bug 3 0.0001273148148148148
bug 3 3.512905092546297
improvement 3 5.5297569444328705
bug 3 0.019594907407407408
improvement 3 0.7072337963078704
improvement 3 1.9999421296527775
improvement 3 0.10290509259259259
improvement 3 2.013483796319444
bug 3 2.3338888888310185
bug 3 6.670601851851852
improvement 3 15.027164351863426
improvement 3 1.0475925926041665
improvement 3 13.196805555543982
subtask 3 33.08091435184028
improvement 3 4.613391203668981
improvement 3 2.2374652777199073
bug 3 15.344907407418981
subtask 3 43.214583333344905
subtask 3 39.67549768524305
improvement 3 39.67631944450231
newfeature 3 65.87909722217593
improvement 4 90.9881712962963
improvement 4 9.01335648150463
bug 4 0.6848726851967593
bug 4 20.695787037037036
bug 4 2.2290509258680555
improvement 3 0.48921296297453704
newfeature 3 20.124293981469908
newfeature 3 52.07056712966435
improvement 3 6.848981481481482
improvement 3 13.686064814814815
improvement 3 33.869768518506945
bug 3 47.184953703680556
task 3 1.0046064814930555
improvement 3 16.74782407402778
improvement 3 16.08480324068287
subtask 3 3.946168981446759
improvement 3 0.0002199074074074074
newfeature 3 77.36543981481482
improvement 3 0.13215277777777779
improvement 3 1.7786574074305554
improvement 3 0.00010416666666666667
improvement 3 1.158750000023148
improvement 4 67.86991898145834
improvement 4 26.940648148136578
improvement 4 4.14134259255787
bug 4 20.161469907395833
bug 4 12.239409722199074
bug 4 1.0555439814930554
improvement 4 1.196851851863426
newfeature 5 0.014872685185185185
bug 2 5.787037037037037e-05
improvement 3 3.472222222222222e-05
bug 3 0.12320601851851852
improvement 3 0.9207523148263889
bug 3 90.82013888888889
bug 3 0.023599537037037037
bug 3 6.113657407395833
newfeature 3 0.00010416666666666667
newfeature 3 4.888425925902777
improvement 3 44.50113425928241
improvement 3 12.879780092581019
subtask 3 21.80553240741898
newfeature 3 20.729606481481483
improvement 3 0.1037037037037037
subtask 3 2.032685185208333
bug 3 34.50765046295139
newfeature 3 60.41026620366898
bug 3 0.0002199074074074074
bug 3 6.859155092592593
improvement 4 1.8383912037268517
bug 4 0.0069097222222222225
newfeature 4 1.971574074097222
newfeature 4 5.6368518518402775
improvement 4 9.015219907430556
improvement 5 1.0803935185300926
newfeature 5 5.812407407395833
bug 5 0.6889236111226852
bug 5 50.37113425927084
improvement 2 63.08394675925926
improvement 2 159.01262731479167
bug 2 0.4090277777083333
improvement 2 58.89126157402778
newfeature 3 55.019583333321755
improvement 3 8.310081018530093
improvement 3 0.06456018518518518
improvement 3 25.001944444409723
task 3 0.38850694444444445
improvement 3 0.39056712962962964
bug 3 0.010578703703703703
improvement 3 0.16344907407407408
improvement 3 16.50774305550926
improvement 3 0.6629745369675926
improvement 3 12.754085648136574
bug 3 0.25228009252314815
improvement 3 24.283425925960646
bug 3 0.02710648148148148
bug 3 0.1532175925925926
bug 3 0.09997685186342593
bug 3 23.642118055578702
bug 3 40.969201388877316
subtask 3 0.17601851851851852
bug 3 3.0330787036689815
improvement 3 0.011655092592592592
bug 3 3.0436342592129635
improvement 3 49.00428240740741
improvement 3 115.17255787032408
bug 4 0.08180555555555556
bug 4 0.016828703703703703
improvement 4 145.7606365740625
bug 4 0.8284143518634258
bug 4 0.0017476851851851852
improvement 5 47.31424768516204
bug 2 0.009606481481481481
bug 2 32.499502314872686
newfeature 3 0.5231712963078704
bug 3 0.34173611111111113
bug 3 0.00037037037037037035
bug 3 18.43188657403935
bug 3 26.23775462960648
bug 3 3.1099999999652774
newfeature 3 0.004247685185185185
improvement 3 0.0006481481481481481
improvement 3 8.814143518460648
bug 3 1.8089467592708335
bug 3 14.61
improvement 3 19.83143518517361
bug 3 0.0021064814814814813
improvement 3 0.02386574074074074
newfeature 3 35.16637731481482
improvement 4 1.015625000011574
improvement 4 119.92996527778935
improvement 4 2.79877314818287
improvement 4 59.45120370373842
bug 4 0.1205787037037037
bug 4 2.762962962997685
improvement 4 68.26276620368056
improvement 4 0.6247569444560185
bug 4 10.701944444409722
improvement 5 10.21561342587963
bug 5 0.012847222222222222
bug 3 0.007083333333333333
bug 3 50.32759259260417
bug 4 0.0011342592592592593
bug 4 0.0002199074074074074
bug 2 1.0419675926041665
bug 3 0.012256944444444445
bug 3 0.19571759259259258
bug 3 0.0012268518518518518
bug 3 0.0021759259259259258
improvement 3 9.079016203645834
bug 3 0.000625
improvement 3 4.6296296296296294e-05
bug 3 0.07512731481481481
improvement 2 0.7645023148263889
bug 2 1.1196064814930555
improvement 3 11.31053240738426
bug 3 0.004340277777777778
bug 3 0.013055555555555556
bug 3 0.0007175925925925926
bug 3 3.472222222222222e-05
bug 2 0.4084837962962963
improvement 3 2.9425000000347223
bug 3 5.787037037037037e-05
improvement 4 55.91837962962963
bug 2 1.963437500023148
bug 3 0.7653587963078703
bug 3 4.361724537002314
bug 3 3.8850347221874997
bug 3 1.0669675926041666
improvement 3 0.06734953703703704
newfeature 3 156.2164120370602
improvement 3 8.611712962986111
improvement 3 0.055949074074074075
improvement 3 0.21181712962962962
bug 3 0.7982523148263888
bug 3 0.002905092592592593
improvement 3 19.720983796284724
improvement 3 8.762152777800926
bug 3 50.32759259260417
subtask 3 108.08620370373843
bug 3 15.878067129652777
bug 3 2.8318865741087964
improvement 3 12.996840277766204
newfeature 3 26.305057870347223
improvement 3 25.15045138885417
improvement 3 25.056921296261578
newfeature 3 189.1647685185185
improvement 3 24.795150462928245
improvement 3 19.852453703773147
improvement 3 6.0580787036921295
bug 4 85.68326388883102
newfeature 4 400.5919212963194
bug 4 0.14667824074074073
bug 4 0.2075925925925926
improvement 4 13.846030092592592
bug 4 0.45068287037037036
bug 4 0.08680555555555555
bug 4 0.7768981480787037
improvement 4 148.02370370371528
subtask 5 191.43870370372684
bug 2 33.33594907405092
bug 2 0.005902777777777778
improvement 2 5.193715277754629
bug 2 1.0419675926041665
bug 3 0.012256944444444445
bug 3 80.87130787041667
bug 3 0.07988425927083334
improvement 3 0.0003125
newfeature 3 71.08016203704861
bug 3 1.476793981423611
bug 3 1.8608333333564813
bug 3 0.11811342592592593
improvement 3 27.078819444432874
bug 3 1.5243055555787035
improvement 3 9.079016203645834
bug 3 0.0007407407407407407
bug 3 12.24184027775463
newfeature 3 130.0025462963426
bug 3 2.8274421296643517
bug 3 0.07512731481481481
improvement 3 8.985752314837963
improvement 4 167.12718749998842
bug 4 143.4577430555903
improvement 4 0.10221064814814815
